id,topic,question,rule,verdict,result,supersedes,superseded_by
6o,refresh,Does the refresh pass a properly powered test?,"18 monthly windows; adopt if the mean tail-MCB CI excludes zero favourably, OR contains zero while QLIKE clears the 5/6 rate",ADOPT,"16 paired windows; mean tail delta -0.005943 CI [-0.011755,-0.002035]; QLIKE -4.57% at 13/16 (bar 14) -- adopted on the tail branch only",,
shape,shape,Is the conditional variation in path shape predictable?,clear a shuffled permutation null AND move P(touch 2%) by >=1pp,REJECT,"Spearman +0.0795 is real; conditioning on it makes touch forecasts WORSE at every barrier >=1%, all CIs excluding zero on the wrong side",,
92pct,oracle,What share of barrier error would a perfect volatility forecast remove?,oracle experiment through the Gaussian first-passage law,WITHDRAWN,6.0-8.5% -- computed through an instrument that loses to the base rate by up to 6.55x,,9
9,oracle,"Same, through NOCTUA's own Stage B mapping",three arms so sigma accuracy is not conflated with sigma uncertainty,ADOPT,1.2/3.8/10.0/12.5/16.6% at 0.5/1/2/3/5%; rises with barrier distance,92pct,
atoms,oracle,Should the 32 sigma atoms be collapsed to a point at the median?,"wide slice by year: 2% Brier improves with CI excluding zero, NO barrier worsens, and >=5 of 6 years won",REJECT,"wide slice 18,463 episodes: single-atom significantly WORSE at 0.5/1/2%, tie at 3%, better only at 5%; 2% sign flips vs the 769-episode slice and wins 0 of 3 years. Jensen mechanism refuted -- P(touch) is CONCAVE in sigma at 0.5-3%, convex only at 5%. Rule condition (c) was unsatisfiable: 5 of 6 years required, 3 exist.",,
lag,lag,"Is the one-day volatility lag fixable, or an information ceiling?",a spike classifier must clear a shuffled-target permutation null,ADOPT,"information IS present: spike-tomorrow AUC 0.777 (logistic, both populations) clearing AUC and DSC nulls. Decomposed independently: continuation AUC 0.929 but ONSET only 0.733, CI [0.655,0.805], still clearing a shuffled null (p95 0.564). So 7a's 'structural' claim is WITHDRAWN, and the prize is bounded by the 0.73 onset signal, not the 0.78 headline. Two levers measured, neither adopted: 3x spike upweighting (pooled QLIKE -5.6%, spike -25.9%, calm +1.7%) and har_1h/har_6h in the linear anchor (pooled -7.33%, onset -5.48%).",,
defects,defects,"Are the three open defects (untrained reg_post_etf, unused capacity, global-vs-hourly adaptive correction) real?","reg_post_etf: measure how much the LIVE prediction moves when the untrained input is zeroed, not whether removing it improves an average. capacity: compare hidden-layer effective rank against the effective rank of the INPUT matrix -- if inputs span ~10 dims a rank-12 layer is correct behaviour. adaptive: rule stated by the agent before running.",REJECT,"capacity: WITHDRAWN false alarm -- Stage B is Linear(22->32) so 32 is an unreachable denominator, and activations carry 13 dims against inputs spanning 13. reg_post_etf: real but moves sigma_med 0.169% and P(touch 2%) 0.17-0.29pp -- fix at next retrain, not urgent. hour-conditional correction: peak cal error -44.6% but CI [-0.0071,+0.0014] contains zero and hour pools median 60 episodes vs 1422 global; NOT adopted. Unplanned: the shipped global correction worsens mean QLIKE +0.00613 CI [0.0030,0.0094].",,
11a,capacity,Is the low hidden-layer effective rank a training defect?,"compare achieved activation rank against the INPUT's effective rank and the architectural ceiling, not against nominal width",REJECT,false alarm: Stage B carries 13 dims against inputs spanning 13; Stage A 17 against 19,7c-capacity,
levers,lag,Do spike-upweighting or anchor-freshness survive a proper walk-forward?,6-fold walk-forward at 3 seeds: pooled QLIKE improves in >=5 of 6 folds AND spike RV/sigma moves toward 1.0 AND calm-episode QLIKE worsens by no more than 3%,REJECT,"3x spike upweighting, 6 folds x 3 seeds: pooled QLIKE 4/6 (bar 5) FAIL; RV/sigma toward 1.0 OK; calm cost -0.02% OK. Rule AND bootstrap agree -- pooled CI [-0.01647,+0.00018] contains zero, so this is not 6l. What the lever does do: spike QLIKE -0.16526 CI [-0.22739,-0.10217] and spike |RV/sigma-1| -0.05095 CI [-0.06080,-0.04255], both excluding zero, at no measurable calm cost. Diluted by spikes being 6.08% of episodes. Rule-design error recorded: 12 made pooled QLIKE primary for a lever aimed at 6% of episodes.",,
levers2,lag,Does spike upweighting pass a SPIKE-CONDITIONAL rule?,spike-conditional QLIKE with a moving-block bootstrap CI excluding zero AND spike RV/sigma toward 1.0 AND calm QLIKE not worsening more than 1% with its own CI; pooled QLIKE reported but NOT a condition,OPEN,"specified, not yet run",,
14,data,Do the harvested funding/DVOL series have usable history depth?,measure the span and the training-window overlap on the committed files; a feature with no training-window overlap cannot be trained on,ADOPT,"route works -- GH Actions runner committed both files. Funding VERIFIED better than cited: hourly, 64,206 rows, 2019-04-30 onward, 32,196 rows (50.1%) inside the training window. DVOL unusable as harvested: 15 days, 383 rows, ZERO training-window overlap, because get_historical_volatility is REALIZED vol with no time range, not the implied DVOL index. Fixed to page get_volatility_index_data; unverified from container.",,
phase0,baseline,Does the committed benchmark reproduce at SHA ab170b4?,"re-run eval.benchmark --folds all; every headline metric (QLIKE, pinball, CRPS, Brier/DSC/MCB at every barrier) within 0.5% relative of benchmark.json. Seeds fixed 0,1,2, so a larger deviation means non-determinism, which BLOCKS all later phases.",REJECT,"gate v1 VOID -- named a nonexistent flag (--folds all) and a nonexistent committed file (model/artifacts is gitignored), and used relative tolerance on near-zero metrics (1421% on a 1e-5 quantity). It DID establish that benchmark.json was stale: climatology bit-identical at 0.000% while persistence, a baseline with no training, moved 3.16%. Data moved, not the optimizer. Wall clock 592s, peak RSS 1.70GB.",,
15,data,Does the paged DVOL index endpoint deliver training-window history?,measure span and training-window overlap on the committed file; unblocks Phase 4 only if overlap > 0,ADOPT,"47,563 hourly rows, 2021-03-24 -> 2026-08-26, 15,552 inside the training window (was 383 rows / 15 days / 0 overlap). Also corrects the repo's own citation of '1,000 daily closes from 2023-09' -- the index endpoint gives hourly from 2021-03.",14,
phase0v2,baseline,Is the benchmark pipeline deterministic run-to-run?,"two runs, identical inputs, seeds 0/1/2: every metric must agree within 1e-9 absolute OR 0.1% relative where |value| > 1e-4. Reproducing the stale artifact is explicitly NOT a condition.",ADOPT,"PASS. Two runs, identical inputs: all 351 metrics BIT-IDENTICAL, worst absolute difference 0.000e+00. The pipeline is fully deterministic, so gate v1's failure was 100% stale artifact and 0% nondeterminism.",,
16,baseline,Does the headline benchmark train the same configuration that ships?,compare the evaluation path's run_fold call against train_v2's trainer configuration,REJECT,"NO. benchmark.py:514 calls run_fold without sigma_ref_fn, so Stage B trains against realized RV -- which prepare()'s own docstring documents as a train/serve skew manufacturing Spearman -0.4331. train_v2.py uses the causal reference and stamps it into the artifact; 6b records that as an ADOPTED fix. Fourth measured-vs-shipped defect here. check_measured_is_shipped could not catch it -- it compares artifact metadata, not the eval path. New check 10 added.",,
16b,baseline,What is the baseline once the benchmark trains the shipped configuration?,"re-run with sigma_ref_fn supplied; ADOPT the corrected configuration UNCONDITIONALLY as the new baseline, whether it scores better or worse, because it is what ships",ADOPT,"corrected config adopted unconditionally as pre-registered. QLIKE 0.289605 -> 0.290346 (+0.256%, WORSE); MCB up 2% -2.637%; DSC/UNC dn 2% +7.11%. Control: log_har and persistence bit-identical at 0.000%, as a correct fix requires. Baseline also shows log_har_gauss BEATING noctua_v2 on Brier (0.193062 vs 0.195381) and DSC/UNC (0.09028 vs 0.08834) at 2%.",,
phase1,lineage,Can every one of the 42 feature columns be documented point-in-time?,"each column needs event_time, publication_time, feature_time and source, or is marked UNVERIFIED with a reason; the gate is completeness of the record, not absence of gaps",OPEN,Phase 1 opened,,
19,lag,Are the freshest volatility features absent from the dominant Log-HAR anchor?,verify BASE_COLS membership and BLEND_W against the shipped artifact,ADOPT,"YES. BASE_COLS = har_1d/har_5d/har_22d/cal_H/cal_weekend_frac; har_1h and har_6h are absent. BLEND_W=0.25 so Log-HAR carries 75%. The dominant term's fastest input is har_1d, so it cannot react faster than a day -- the lag mechanism. Also corrects the Phase 1 catalog: feat_cols is 39 (Stage A weight (32,39)), and 15 columns sit outside BASE|SHAPE, not 6, and they ARE model inputs rather than an unused category.",,
E-anchor,lag,Does adding har_1h/har_6h to BASE_COLS reduce the volatility lag?,PRIMARY on the targeted slice: spike-episode QLIKE with a moving-block bootstrap CI excluding zero favourably. Guards: calm QLIKE not worse than 1% with its own CI; deep-tail MCB not worse with CI excluding zero unfavourably; pooled QLIKE reported but NOT a condition; log_har_gauss re-scored since it gains inputs too.,OPEN,pre-registered before the run,,
E-anchor-pre,lag,Diagnostics from the E-anchor runs before a verdict exists,"record what the partial runs established, separately from the experiment's own pre-registered rule",NULL,"(1) My pre-registered guard 're-score log_har_gauss' rested on a FALSE premise: fit_vol_baselines uses its own VOL_BASELINES dict, not BASE_COLS, so log_har is independent of the treatment. Confirmed empirically -- logHAR identical to 4dp across arms in folds 2021 (0.3591) and 2022 (0.2851). Harmless over-specification, but the guard was checking something that could not move. (2) Partial results, 2 of 6 folds, NOT a verdict: fresh_anchor was slightly WORSE on both pooled (0.3369->0.3417, 0.2745->0.2766) and spike (3.2380->3.2775, 1.3542->1.3739). If that holds, 12's Arm 4 OLS-harness gain does not survive the full pipeline.",,
